"filename", "language", "SCSS", "JavaScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/components/warehouse/WarehouseModal.js", "JavaScript", 0, 148, 0, 0, 0, 4, 36, 188
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/helpers/calendar-messages.js", "JavaScript", 0, 15, 0, 0, 0, 0, 1, 16
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/helpers/checkDocSizeAndType.js", "JavaScript", 0, 25, 0, 0, 0, 0, 5, 30
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/helpers/checkImageSizeAndType.js", "JavaScript", 0, 38, 0, 0, 0, 5, 11, 54
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/helpers/disable-enable-scroll.js", "JavaScript", 0, 8, 0, 0, 0, 3, 2, 13
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/helpers/getColumnsTable.js", "JavaScript", 0, 23, 0, 0, 0, 0, 1, 24
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/helpers/getDocById.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 4
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/helpers/getDocsBySectionId.js", "JavaScript", 0, 6, 0, 0, 0, 0, 3, 9
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/helpers/getEventColor.js", "JavaScript", 0, 27, 0, 0, 0, 7, 5, 39
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/helpers/getMachinesBySectionId.js", "JavaScript", 0, 6, 0, 0, 0, 0, 3, 9
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/helpers/getOrderById.js", "JavaScript", 0, 11, 0, 0, 0, 1, 7, 19
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/helpers/getSectionNumbersBySectionId.js", "JavaScript", 0, 3, 0, 0, 0, 0, 2, 5
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/helpers/getSectionsByFactoryId.js", "JavaScript", 0, 6, 0, 0, 0, 0, 3, 9
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/helpers/getTechnicianNameById.js", "JavaScript", 0, 3, 0, 0, 0, 0, 2, 5
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/helpers/inputChecks.js", "JavaScript", 0, 22, 0, 0, 0, 2, 2, 26
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/helpers/toggleShowPassword.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/hooks/useForm.js", "JavaScript", 0, 14, 0, 0, 0, 0, 5, 19
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 5, 9
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/pages/AdminScreen.js", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/pages/CalendarScreen.js", "JavaScript", 0, 62, 0, 0, 0, 8, 14, 84
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/pages/CrewScreen.js", "JavaScript", 0, 50, 0, 0, 0, 1, 16, 67
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/pages/DashboardScreen.js", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"/Volumes/Almacen/Desarrollador/REPO/REPO_FINAL_PROJECT/src/pages/DocsScreen.js", "JavaScript", 0, 165, 0, 0, 0, 21, 47, 233
